Percolation threshold data
Total number of sites: 8192

Run	Num	Key Site
---	---	--------
0	3692	7865
1	3543	1177
2	3492	3154
3	3678	3846
4	3584	6270
5	3546	4161
6	3355	3613
7	3687	99
8	3506	18
9	3404	1349
10	3530	3748
11	3379	3460
12	3457	1061
13	3424	5262
14	3492	5093
15	3608	4082
16	3426	4410
17	3462	5359
18	3516	6382
19	3387	2467
20	3480	2389
21	3421	396
22	3450	3454
23	3564	4786
24	3549	3076
25	3786	7275
26	3304	3062
27	3632	3386
28	3441	2898
29	3765	3610
30	3603	7599
31	3555	3805
32	3548	5683
33	3620	255
34	3465	2309
35	3382	3718
36	3581	1023
37	3481	6331
38	3649	3303
39	3458	5624
40	3498	7902
41	3468	7962
42	3357	3182
43	3730	1201
44	3631	3734
45	3523	2140
46	3618	6193
47	3589	1469
48	3568	7991
49	3673	1693
50	3574	5369
51	3498	7951
52	3364	6374
53	3517	2655
54	3391	1734
55	3643	6413
56	3425	738
57	3495	4661
58	3655	5316
59	3594	1864
60	3554	6509
61	3370	7582
62	3379	1766
63	3579	5546
64	3584	3512
65	3286	3177
66	3404	4110
67	3495	788
68	3366	6532
69	3619	4687
70	3611	6197
71	3488	630
72	3321	4884
73	3529	7364
74	3567	527
75	3352	6587
76	3605	7776
77	3537	4647
78	3602	4681
79	3572	275
80	3358	2398
81	3692	1560
82	3620	3068
83	3606	7720
84	3455	5125
85	3433	2862
86	3393	4051
87	3448	4373
88	3501	5762
89	3429	296
90	3610	6812
91	3657	3483
92	3530	6833
93	3483	6131
94	3741	3084
95	3574	5020
96	3673	7904
97	3507	2727
98	3563	777
99	3396	6249
100	3583	6334
101	3421	1373
102	3613	5048
103	3444	1201
104	3565	6887
105	3443	2354
106	3465	7429
107	3551	2820
108	3410	8129
109	3253	7144
110	3601	3309
111	3297	1526
112	3490	2015
113	3584	7127
114	3464	728
115	3633	5468
116	3459	2781
117	3608	7717
118	3452	5646
119	3650	2874
120	3477	1398
121	3488	3387
122	3479	3349
123	3525	4503
124	3282	5336
125	3432	5320
126	3403	3680
127	3517	6304
128	3525	429
129	3617	2858
130	3510	1665
131	3460	1055
132	3628	3528
133	3576	6781
134	3681	3381
135	3505	1994
136	3479	441
137	3390	3558
138	3407	4065
139	3526	7164
140	3535	7179
141	3467	1553
142	3455	2324
143	3669	86
144	3528	5074
145	3571	952
146	3743	4575
147	3498	6456
148	3324	4110
149	3634	5201
150	3501	5440
151	3415	1946
152	3257	6511
153	3556	4161
154	3508	7346
155	3562	2204
156	3388	7650
157	3353	5941
158	3635	1215
159	3633	2886
160	3495	2881
161	3508	7931
162	3689	8092
163	3514	4955
164	3495	3655
165	3609	5476
166	3634	3015
167	3687	5653
168	3601	3538
169	3489	4899
170	3368	1606
171	3516	5312
172	3715	6913
173	3468	2994
174	3572	4452
175	3417	4935
176	3473	748
177	3497	738
178	3614	6360
179	3353	7820
180	3552	6792
181	3424	3722
182	3638	3693
183	3475	6618
184	3561	6029
185	3657	3654
186	3557	6011
187	3582	7570
188	3466	3873
189	3652	5758
190	3571	4860
191	3342	3168
192	3444	1643
193	3557	208
194	3640	6850
195	3600	2161
196	3475	7021
197	3597	2580
198	3688	7050
199	3394	80
200	3530	1569
201	3508	1719
202	3616	1882
203	3666	7774
204	3496	1312
205	3542	2499
206	3642	4466
207	3498	6903
208	3393	7928
209	3647	4488
210	3604	326
211	3432	4185
212	3555	7828
213	3476	5223
214	3679	2004
215	3402	3847
216	3521	5729
217	3572	7495
218	3699	7742
219	3722	1448
220	3486	7942
221	3538	7944
222	3515	2558
223	3677	3506
224	3485	2375
225	3511	7047
226	3434	1239
227	3572	5588
228	3392	11
229	3546	113
230	3712	3897
231	3535	1942
232	3518	7676
233	3643	1921
234	3405	7934
235	3440	2463
236	3659	5930
237	3640	5566
238	3578	2630
239	3458	1290
240	3572	7537
241	3504	6239
242	3582	4394
243	3566	878
244	3588	1790
245	3582	7061
246	3552	6821
247	3568	8070
248	3702	7905
249	3621	7099
250	3425	5858
251	3605	2314
252	3430	4274
253	3558	4295
254	3444	5647
255	3691	6915
256	3596	2455
257	3694	7995
258	3415	497
259	3574	3116
260	3605	935
261	3473	2636
262	3439	6344
263	3582	6607
264	3439	3762
265	3586	2154
266	3525	3457
267	3550	3051
268	3451	7315
269	3347	2217
270	3433	3364
271	3509	1412
272	3454	273
273	3544	2948
274	3533	6458
275	3456	2497
276	3684	7669
277	3379	1060
278	3555	721
279	3510	4055
280	3556	2985
281	3491	2164
282	3464	5554
283	3371	1015
284	3422	3617
285	3425	1545
286	3377	5488
287	3349	5084
288	3489	3257
289	3593	7100
290	3828	1783
291	3512	1343
292	3481	7536
293	3237	243
294	3626	4646
295	3378	7593
296	3406	1030
297	3475	1284
298	3524	6766
299	3481	1316
300	3510	4008
301	3720	557
302	3660	5074
303	3400	921
304	3325	6193
305	3355	2907
306	3597	6964
307	3459	1968
308	3666	7884
309	3542	7831
310	3409	5133
311	3534	3445
312	3588	7310
313	3543	6581
314	3446	7819
315	3465	2352
316	3485	1426
317	3674	3096
318	3610	6704
319	3571	3886
320	3519	3062
321	3523	2218
322	3639	1043
323	3658	4506
324	3559	3158
325	3471	6909
326	3640	7083
327	3373	4026
328	3525	6462
329	3445	3720
330	3545	549
331	3451	5740
332	3410	6699
333	3657	5092
334	3519	6630
335	3471	587
336	3609	6423
337	3434	2098
338	3563	6938
339	3410	4371
340	3651	1899
341	3589	5898
342	3304	860
343	3588	4976
344	3592	3282
345	3519	7903
346	3642	3537
347	3514	5186
348	3662	7877
349	3546	1096
350	3432	6866
351	3507	4242
352	3271	6511
353	3472	8118
354	3417	3198
355	3356	395
356	3474	6515
357	3395	3416
358	3597	6600
359	3600	3010
360	3620	5852
361	3711	2127
362	3479	2709
363	3361	3405
364	3452	2597
365	3527	2891
366	3511	238
367	3669	5077
368	3551	3529
369	3621	4896
370	3601	2672
371	3568	4699
372	3723	4182
373	3510	1758
374	3441	287
375	3446	2947
376	3571	4415
377	3508	7812
378	3481	77
379	3690	7009
380	3552	3878
381	3613	5545
382	3547	2881
383	3568	3976
384	3797	1682
385	3585	5576
386	3637	1732
387	3429	7505
388	3694	758
389	3652	5785
390	3445	344
391	3598	4842
392	3561	3840
393	3572	3430
394	3607	1234
395	3398	2004
396	3494	4804
397	3606	3638
398	3661	2166
399	3601	7714
400	3673	3937
401	3573	6545
402	3450	2474
403	3498	4621
404	3590	2172
405	3584	7281
406	3668	5464
407	3686	7012
408	3586	2016
409	3619	6149
410	3530	5911
411	3564	544
412	3581	1746
413	3431	3959
414	3653	4323
415	3578	624
416	3510	7701
417	3462	4185
418	3211	4359
419	3544	6660
420	3559	2762
421	3473	4289
422	3430	8019
423	3295	930
424	3450	8191
425	3619	6435
426	3641	3757
427	3490	5047
428	3476	3598
429	3547	6004
430	3208	3759
431	3596	7970
432	3418	2721
433	3470	6696
434	3589	6600
435	3515	87
436	3314	2724
437	3246	3904
438	3618	4010
439	3623	3960
440	3377	3304
441	3438	6223
442	3311	3346
443	3508	2670
444	3587	7894
445	3551	60
446	3501	2680
447	3493	610
448	3606	481
449	3589	3454
450	3545	3035
451	3677	7642
452	3361	7152
453	3509	2142
454	3495	5807
455	3533	4765
456	3664	791
457	3513	7300
458	3692	3121
459	3524	5193
460	3635	3722
461	3695	6761
462	3472	36
463	3619	2700
464	3636	1032
465	3512	4611
466	3648	7539
467	3488	1748
468	3579	7159
469	3508	5492
470	3400	6744
471	3482	5673
472	3341	7871
473	3635	562
474	3699	2057
475	3640	454
476	3502	2611
477	3569	725
478	3394	7007
479	3245	2456
480	3555	7990
481	3611	4621
482	3637	5595
483	3171	182
484	3460	1671
485	3432	6865
486	3578	7329
487	3571	4745
488	3656	3406
489	3432	7387
490	3551	3184
491	3548	3919
492	3293	3063
493	3539	841
494	3626	922
495	3768	442
496	3380	7758
497	3467	2312
498	3458	4598
499	3462	7322
500	3499	5126
501	3541	4474
502	3530	5609
503	3678	2858
504	3560	2637
505	3519	5008
506	3548	696
507	3539	7297
508	3618	6543
509	3628	818
510	3449	5398
511	3598	5091
512	3538	769
513	3453	3117
514	3593	6830
515	3760	5980
516	3505	2143
517	3564	6782
518	3366	1239
519	3702	3976
520	3503	4252
521	3571	2981
522	3547	3505
523	3580	1487
524	3399	3868
525	3591	6683
526	3438	7452
527	3599	3083
528	3639	730
529	3493	886
530	3598	3793
531	3502	3538
532	3516	5086
533	3688	1707
534	3648	6494
535	3684	4691
536	3480	4260
537	3709	7158
538	3583	6649
539	3538	3871
540	3399	6370
541	3724	1641
542	3655	5783
543	3436	4874
544	3470	7475
545	3642	7092
546	3700	4415
547	3582	7839
548	3609	6834
549	3616	5669
550	3445	7802
551	3673	8075
552	3641	2712
553	3735	4445
554	3524	513
555	3674	3014
556	3327	1109
557	3716	4564
558	3567	649
559	3580	6213
560	3469	3493
561	3521	7314
562	3536	5852
563	3495	7562
564	3534	6380
565	3655	5470
566	3536	748
567	3615	4641
568	3631	7132
569	3560	5982
570	3634	186
571	3659	5735
572	3327	6857
573	3419	469
574	3301	4016
575	3474	3372
576	3534	5744
577	3411	7814
578	3435	2039
579	3556	2484
580	3733	3535
581	3441	3579
582	3642	5960
583	3443	3438
584	3418	4595
585	3527	7659
586	3464	7948
587	3691	794
588	3622	8191
589	3534	4123
590	3576	495
591	3493	6616
592	3706	4582
593	3613	7411
594	3616	410
595	3619	3780
596	3640	3813
597	3345	345
598	3566	3887
599	3521	5175
600	3723	7393
601	3414	3404
602	3397	3939
603	3552	5155
604	3629	174
605	3711	992
606	3674	5222
607	3721	2457
608	3585	2285
609	3648	4829
610	3576	1174
611	3484	5630
612	3452	3258
613	3700	223
614	3490	2423
615	3600	3131
616	3648	7162
617	3594	7069
618	3632	3729
619	3432	3596
620	3241	4321
621	3513	915
622	3555	1267
623	3433	1622
624	3568	3272
625	3235	4354
626	3518	7582
627	3420	4697
628	3530	2622
629	3319	5564
630	3586	3926
631	3478	154
632	3312	7267
633	3548	248
634	3567	3766
635	3337	4114
636	3226	7642
637	3420	857
638	3530	4279
639	3535	5957
640	3411	7177
641	3697	7917
642	3490	5135
643	3306	345
644	3585	7161
645	3549	2518
646	3515	2657
647	3611	625
648	3626	6246
649	3366	7889
650	3678	5510
651	3490	2440
652	3603	1130
653	3484	7319
654	3473	2250
655	3583	8013
656	3577	3804
657	3604	6323
658	3515	3804
659	3441	5224
660	3712	5600
661	3581	6235
662	3578	7522
663	3392	887
664	3460	3252
665	3616	2559
666	3651	3105
667	3705	3387
668	3433	7919
669	3606	1990
670	3573	1191
671	3513	6185
672	3727	6027
673	3521	4634
674	3469	4610
675	3393	1279
676	3471	1851
677	3520	7635
678	3425	77
679	3580	8120
680	3588	90
681	3328	3963
682	3556	6965
683	3604	3275
684	3640	2154
685	3566	5982
686	3392	6640
687	3602	692
688	3611	7540
689	3608	286
690	3471	4241
691	3526	3025
692	3663	5097
693	3426	6739
694	3477	6252
695	3419	7230
696	3532	5546
697	3643	1594
698	3459	2589
699	3512	1
700	3463	2076
701	3571	7776
702	3455	7946
703	3493	4538
704	3433	1110
705	3698	7426
706	3393	1030
707	3520	139
708	3630	1022
709	3642	7770
710	3512	798
711	3582	6396
712	3692	6347
713	3471	1694
714	3470	1537
715	3648	1906
716	3547	639
717	3654	3040
718	3405	746
719	3414	6608
720	3370	1801
721	3588	6838
722	3494	4077
723	3564	6957
724	3580	7176
725	3283	4281
726	3480	4636
727	3626	8133
728	3632	5672
729	3486	4267
730	3601	4829
731	3415	4513
732	3587	3896
733	3602	7275
734	3371	3235
735	3438	3638
736	3581	5362
737	3587	1408
738	3587	2343
739	3458	4871
740	3416	5238
741	3596	2279
742	3559	6935
743	3577	6002
744	3604	5219
745	3599	4267
746	3356	2669
747	3553	7347
748	3660	4888
749	3568	2259
750	3617	30
751	3654	5138
752	3625	6526
753	3629	6165
754	3545	4153
755	3545	6569
756	3494	1359
757	3644	1679
758	3639	7769
759	3693	7816
760	3644	372
761	3538	7599
762	3415	2852
763	3580	3335
764	3592	7427
765	3513	4323
766	3562	1510
767	3651	7576
768	3547	7281
769	3585	2238
770	3566	2439
771	3472	6595
772	3570	4479
773	3599	5843
774	3454	4095
775	3576	3243
776	3592	371
777	3512	3774
778	3575	1380
779	3561	2491
780	3389	1671
781	3565	1245
782	3737	7468
783	3619	1083
784	3625	4633
785	3658	1873
786	3687	4020
787	3612	6
788	3583	2153
789	3601	6562
790	3584	3587
791	3332	7593
792	3508	6577
793	3494	3606
794	3540	443
795	3468	41
796	3317	5281
797	3550	7512
798	3428	1369
799	3529	345
800	3613	4912
801	3585	6384
802	3656	7504
803	3449	5713
804	3310	1864
805	3452	4006
806	3673	3048
807	3576	2083
808	3629	2079
809	3522	2597
810	3440	4078
811	3435	5641
812	3480	5052
813	3665	3549
814	3570	2122
815	3609	182
816	3604	6294
817	3313	275
818	3529	34
819	3555	3311
820	3638	6818
821	3486	135
822	3563	4569
823	3584	2113
824	3720	2903
825	3490	7539
826	3591	7294
827	3507	3476
828	3326	2333
829	3237	3169
830	3465	712
831	3441	23
832	3467	6640
833	3479	6462
834	3507	5998
835	3490	911
836	3352	4854
837	3551	3772
838	3513	6206
839	3584	5971
840	3275	4336
841	3525	8013
842	3513	3817
843	3584	4258
844	3579	6833
845	3598	1508
846	3528	2556
847	3508	1173
848	3525	1121
849	3586	7978
850	3594	7499
851	3602	5822
852	3312	5526
853	3724	2327
854	3355	7143
855	3580	2914
856	3545	4713
857	3562	7244
858	3451	8184
859	3450	925
860	3795	4896
861	3563	7198
862	3530	5572
863	3633	5646
864	3401	4089
865	3416	4828
866	3519	222
867	3374	480
868	3522	6875
869	3627	4226
870	3361	7469
871	3261	6194
872	3549	4958
873	3446	4794
874	3497	2057
875	3695	896
876	3456	2629
877	3536	4022
878	3370	8136
879	3397	251
880	3695	3557
881	3667	1996
882	3693	337
883	3536	2031
884	3503	5184
885	3498	2773
886	3530	3409
887	3424	4884
888	3545	5488
889	3571	7998
890	3522	2656
891	3666	4778
892	3432	5429
893	3596	4332
894	3544	1452
895	3492	5064
896	3569	7672
897	3426	6351
898	3364	4856
899	3401	4484
900	3615	197
901	3561	3794
902	3606	6351
903	3558	7821
904	3614	3818
905	3621	2282
906	3579	728
907	3556	2749
908	3359	3155
909	3555	6089
910	3369	7196
911	3558	7651
912	3571	678
913	3259	2298
914	3446	6791
915	3358	3304
916	3503	7206
917	3459	3531
918	3586	4672
919	3585	2933
920	3726	5744
921	3690	1903
922	3523	3839
