Percolation threshold data
Total number of sites: 524288

Run	Num	Key Site
---	---	--------
0	225897	180713
1	223566	365665
2	226374	201166
3	224970	164265
4	226434	193049
5	223479	304968
6	227506	320394
7	226503	493746
8	227241	43198
9	226809	292834
10	225836	355827
11	224884	443115
12	224903	258481
13	226433	176697
14	225079	54800
15	226905	430752
16	224631	5774
17	227910	158132
18	225294	132662
19	225027	77058
20	226135	76598
21	225241	257365
22	226250	154710
23	222675	227039
24	224286	337247
25	225688	96302
26	226040	345615
27	227226	32101
28	223102	52112
29	225469	295966
30	228393	136799
31	225874	153952
32	225955	488525
33	224478	80049
34	227937	259662
35	227416	412569
36	224793	58516
37	224032	298973
38	222264	79573
39	224764	203527
40	224027	272066
41	225021	16416
42	228581	510084
43	225727	315829
44	226412	345471
45	224672	85852
46	222720	214510
47	225963	107076
48	223703	461045
49	223475	141327
50	224868	232242
51	227466	447827
52	225074	198745
53	225128	263328
54	227075	24291
55	225999	181481
56	224875	74415
57	224314	430892
58	227965	29382
59	226007	345261
60	224905	349883
61	224447	435519
62	227004	350821
63	226032	95419
64	226504	40080
65	226714	307842
66	225594	270941
67	224781	91594
68	223962	453237
69	226777	182205
70	225515	64832
71	226677	496431
72	225517	275666
73	223659	52091
74	224555	482955
75	226448	283529
76	225867	248149
77	225671	9887
78	226402	384870
79	225246	11241
80	225011	106866
81	223377	103539
82	226644	66979
83	226335	503949
84	224452	334673
85	227256	281153
86	226875	178943
87	225866	102841
88	224334	348074
89	226998	135713
90	226788	249622
91	229181	41170
92	225748	234004
93	226304	169089
94	226452	502273
95	225252	219657
96	227042	84216
97	220942	321752
98	226503	86357
99	225490	153752
100	223053	278756
101	225879	35857
102	221960	202255
103	227477	111489
104	227444	501116
105	223243	205295
106	225844	464082
107	226495	414632
108	225789	137699
109	224485	391847
110	226656	123606
111	222951	447934
112	224350	444325
113	226554	388176
114	223702	321847
115	224705	156090
116	227256	210659
117	226437	265701
118	225685	310421
119	226980	154823
120	226545	226289
121	226595	391294
122	226115	377533
123	224466	395887
124	226232	224899
125	225718	404432
126	225433	97774
127	222309	289426
128	224851	267401
129	224186	12330
130	225435	88099
131	224291	160725
132	223706	126893
133	226662	332514
134	224193	258380
135	221068	54014
136	224551	352395
137	227382	425488
138	226639	457738
139	226883	523702
140	225732	263691
141	226540	479868
142	222325	4445
143	223514	510695
144	223011	223036
145	227026	292600
146	219683	212844
147	224895	473824
148	227344	128265
149	222868	53002
150	224273	60760
151	229105	363929
152	226163	208436
153	225791	79922
154	228296	318331
155	225744	271265
156	224652	192332
157	226876	21698
158	221254	465084
159	227365	401502
160	226929	257613
161	226344	298940
162	225800	262458
163	224874	301130
164	227077	363041
165	227882	25663
166	225194	61318
167	225394	426515
168	225708	107952
169	226506	470438
170	225260	487616
171	226729	506985
172	226069	353248
173	226692	303366
174	225875	457926
175	227447	177182
176	227785	119598
177	223724	178746
178	224991	384721
179	226692	55927
180	222833	35850
181	223130	301056
182	225721	9403
183	224549	521948
184	227195	116254
185	224781	215370
186	220912	352462
187	225863	33448
188	225102	78951
189	224158	215364
190	223468	34774
191	227472	22828
192	229145	241117
193	228475	342004
194	226570	143656
195	226289	289288
196	225662	523412
197	223119	335017
198	227210	231708
199	225977	10198
200	226724	106017
201	223632	341612
