Percolation threshold data
Total number of sites: 4194304

Run	Num	Key Site
---	---	--------
0	1813435	2890992
1	1803669	1593772
2	1808166	3820036
3	1803221	2046153
4	1798243	1895838
5	1806162	151254
6	1804584	2784269
7	1793795	2920401
8	1809834	322431
9	1810304	3144378
10	1793996	1663934
11	1800721	2268669
12	1799956	1769193
13	1806237	268658
14	1802872	1163102
15	1806195	1584417
16	1803659	916502
17	1806182	3769654
18	1801553	585665
19	1806936	3378299
20	1802284	1086239
21	1810959	2047502
22	1809792	1784826
23	1802018	2974277
24	1809893	2366348
25	1803051	1443190
26	1804558	1571330
27	1809310	2418338
28	1807542	3124961
29	1800892	2687810
30	1791348	1860780
31	1805954	1833673
32	1792488	315995
33	1813962	3755449
34	1800260	401834
35	1802803	653545
36	1808906	2453176
37	1807545	2137213
38	1804985	4003434
39	1791602	2892977
40	1812003	3160970
41	1808469	1592249
42	1804169	668180
43	1802492	2345466
44	1810149	196092
45	1807635	3624080
46	1801566	1642526
47	1805162	1329217
48	1805197	2896497
49	1805051	1666236
50	1791076	2706283
51	1800338	4190898
52	1792450	3971881
53	1801481	310932
54	1809558	3928957
55	1805769	1864920
56	1810507	2029391
57	1816059	925713
58	1803298	970801
59	1799028	3815416
60	1808588	2536746
61	1807892	2834006
62	1799123	111802
63	1806163	2139648
64	1808300	2932788
65	1797293	2714197
66	1804276	1022268
67	1796995	2347889
68	1805050	144639
69	1801165	808674
70	1804015	1049604
71	1783489	688980
72	1800313	3346861
73	1803609	2549250
74	1799250	188625
75	1791380	496127
76	1810960	4058072
77	1807124	3640702
78	1805104	2106358
79	1803816	2834161
80	1800706	1801940
81	1809019	1482671
82	1802021	2437647
83	1793840	3072894
84	1801674	964127
85	1798383	2608201
86	1799458	1047915
87	1809868	116052
88	1799302	3115641
89	1799759	3968700
90	1799483	3355512
91	1810752	825410
92	1802759	2255077
93	1809464	3193336
94	1803748	870671
95	1796924	2748781
96	1805693	635667
97	1809201	882566
98	1805670	2145463
99	1804051	1920545
100	1803772	3473223
101	1806195	794675
102	1809847	794105
103	1808563	2632544
104	1805503	180143
105	1806437	3984302
106	1804649	3010578
107	1807352	181803
108	1805872	3751428
109	1808165	2653301
110	1805534	2393878
111	1809387	2972226
112	1800157	2548234
113	1801504	2885841
114	1804601	1420593
115	1802102	3771389
116	1798230	2693812
117	1807248	1553266
118	1801310	4016978
119	1809560	130794
120	1809912	2091503
121	1802044	3145761
122	1809386	1275868
123	1802129	3182199
124	1797341	3591387
125	1808503	2385806
126	1794120	2420564
127	1811483	3840007
128	1811227	3981440
129	1805033	1912124
130	1798441	3104052
131	1801914	1753439
132	1801503	130626
133	1804638	3868121
134	1799893	852378
135	1808568	321806
136	1805437	1273891
137	1806767	898867
138	1804875	1995059
139	1804282	2286389
140	1809413	1018135
141	1802626	882701
142	1810735	2120540
143	1809242	1796510
144	1798336	14468
145	1796511	103012
146	1795308	2131806
147	1806650	2988734
148	1810704	997071
149	1805745	849999
150	1806096	2964108
151	1804237	2935653
152	1811278	2053559
153	1806695	125940
154	1805949	2495867
155	1805079	718063
156	1806053	584735
157	1814177	3844586
158	1809934	857433
159	1802482	2770058
160	1800875	1257147
161	1809367	1594322
162	1803618	2287757
163	1799466	1476062
164	1805673	2637902
165	1807306	619225
166	1804250	914359
167	1813413	1588291
168	1809544	3546155
169	1815905	3511020
170	1813848	3400371
171	1811008	61029
172	1802407	3037609
173	1794601	2410336
174	1796323	2724674
175	1805484	257788
176	1805042	1717239
177	1798575	1044568
178	1806293	2450960
179	1802427	406565
180	1801767	2133751
181	1809373	380910
182	1803886	2144502
183	1800927	4142770
184	1789894	3778240
185	1805305	2633459
186	1813002	1141492
187	1796829	1117020
188	1804748	2640030
189	1815704	2263805
190	1809390	402288
191	1813891	1385633
192	1809939	602286
193	1795458	1430035
194	1800752	1689929
195	1799425	1323933
196	1808030	1055966
197	1795027	2205511
198	1811025	1150278
199	1801875	3974279
200	1810285	3287579
